Area_sqft,Bedrooms,Age_of_Home,Price
2949,1,31,319496.0
3277,1,28,453371.0
2079,1,45,301897.0
661,2,72,50000.0
701,2,77,50000.0
2481,1,52,321089.0
1495,4,80,229742.0
2817,5,24,497251.0
1315,3,52,207503.0
3842,5,93,542321.0
955,3,28,116901.0
1775,3,92,199949.0
1516,1,81,145920.0
2843,3,94,408388.0
3267,1,82,368819.0
837,2,80,132214.0
1378,4,5,285875.0
1576,3,75,183565.0
1291,4,37,204858.0
2764,1,2,427409.0
1263,3,34,206620.0
2735,5,54,445847.0
879,2,46,135777.0
992,2,32,130564.0
3612,3,92,494590.0
1680,2,2,279550.0
2562,5,68,452102.0
564,4,58,50000.0
3068,5,77,532155.0
1867,2,99,174742.0
1652,4,91,186035.0
2527,5,95,356165.0
3195,1,17,485332.0
1995,1,76,217152.0
3634,4,65,565025.0
1662,4,24,287016.0
2022,4,19,341190.0
3140,1,70,379263.0
891,5,74,182664.0
2198,4,68,339631.0
918,1,28,89392.0
2836,4,17,471430.0
878,4,71,86785.0
2296,4,26,474973.0
2778,1,41,392993.0
3565,5,65,497058.0
2588,1,98,249802.0
3599,1,25,492337.0
2682,4,22,464679.0
700,3,4,109265.0
2363,3,79,278682.0
1279,3,10,232311.0
3477,1,18,517463.0
3604,4,79,509175.0
3619,3,95,476392.0
1002,2,11,134047.0
2954,2,1,495284.0
2251,2,42,267203.0
1304,5,21,265464.0
2646,4,25,500315.0
3231,1,32,455268.0
2395,1,23,309679.0
3273,4,68,485850.0
2070,5,20,377254.0
1460,4,45,250534.0
3160,5,17,558649.0
1985,3,4,381817.0
3190,3,7,515039.0
1528,5,84,203327.0
3789,4,56,556835.0
1002,3,4,185800.0
3314,4,12,571297.0
897,3,82,54630.0
1370,4,92,146742.0
3342,4,65,504809.0
892,2,36,166745.0
706,5,89,72566.0
1538,1,28,227577.0
2381,5,68,369296.0
3439,4,31,573758.0
1984,4,47,322984.0
1363,5,1,304061.0
3290,4,68,568477.0
3812,3,96,604494.0
1063,4,50,171560.0
1520,5,34,259676.0
595,5,82,98111.0
2423,5,14,464770.0
2257,2,98,300571.0
3032,2,71,342250.0
3978,2,64,547581.0
2778,2,37,397060.0
3296,2,85,408190.0
2178,2,16,302594.0
3742,2,79,499764.0
1040,5,44,224336.0
1559,1,0,216513.0
3072,2,2,501033.0
1683,5,69,282245.0
2222,1,51,341403.0
3814,2,52,568755.0
3657,1,2,563589.0
2319,1,93,265593.0
3125,3,46,496432.0
3229,4,74,479175.0
3104,3,90,441202.0
2097,1,85,222577.0
3560,5,5,664013.0
3193,2,45,449661.0
1295,4,94,140877.0
1551,2,60,186606.0
2143,5,42,341937.0
1863,4,55,316084.0
2481,3,69,302175.0
1854,1,19,262297.0
2163,5,46,378982.0
2029,1,53,261113.0
2538,1,40,351442.0
3919,2,74,534772.0
1996,5,65,326334.0
3802,1,30,524220.0
2737,3,63,380568.0
3796,4,89,534875.0
1908,5,90,291875.0
1900,2,57,284889.0
1806,5,54,302138.0
3180,2,45,485029.0
3175,4,94,446141.0
1472,3,23,251081.0
2268,1,76,292532.0
1782,5,88,218273.0
3930,2,36,599566.0
1209,4,40,192780.0
1979,1,24,319208.0
1934,4,28,316764.0
1148,3,30,186885.0
817,1,1,94406.0
3796,1,11,587219.0
1757,1,4,266222.0
1183,2,60,129334.0
1163,1,90,87272.0
2498,4,55,338601.0
3945,2,97,494554.0
2131,1,77,241661.0
1995,4,70,339191.0
3804,4,36,612902.0
1636,5,35,315281.0
2353,4,73,347209.0
2020,3,28,431692.0
2989,1,79,400515.0
1063,1,37,74058.0
1791,1,84,194519.0
3957,4,40,658259.0
3958,4,32,591775.0
3684,1,92,465348.0
2136,2,80,248258.0
3499,2,12,524811.0
3652,3,5,641879.0
1198,5,65,181807.0
2660,3,7,430983.0
501,1,63,50000.0
1141,1,95,50000.0
2767,1,99,299856.0
2089,5,8,385871.0
1354,4,22,221064.0
2259,5,70,354029.0
3796,3,94,440706.0
2932,4,20,498847.0
3974,4,0,705389.0
2161,3,45,314228.0
1653,4,61,265373.0
1576,2,1,267624.0
2207,3,74,372808.0
3277,3,100,460747.0
2195,2,81,246057.0
2233,5,43,422096.0
1939,5,87,358786.0
2794,5,82,414204.0
1335,4,4,290054.0
702,2,92,65287.0
3755,3,38,544067.0
622,3,65,50000.0
900,3,80,103787.0
1266,4,44,192432.0
793,4,74,103603.0
2827,5,100,434795.0
3431,4,12,597200.0
697,5,92,110894.0
3529,5,31,588291.0
2430,3,42,354768.0
3299,4,7,545187.0
2691,5,73,468362.0
1108,2,88,168284.0
3772,2,58,568565.0
1647,4,10,306625.0
686,3,27,97115.0
3897,3,96,610984.0
3011,5,38,519644.0
3920,4,25,650956.0
2294,2,71,280970.0
1159,5,25,264495.0
3311,5,31,553217.0
3502,1,45,459636.0
2455,4,27,405693.0
2950,5,6,547390.0
1869,2,34,325549.0
2486,1,65,267657.0
2034,2,21,282736.0
646,3,21,118903.0
3719,1,2,547371.0
3411,1,45,477725.0
2234,5,49,361546.0
2343,3,7,406790.0
988,5,3,249624.0
3476,4,14,543983.0
2459,2,43,350985.0
2163,2,38,294889.0
3098,5,75,508845.0
2885,2,28,418760.0
3419,2,72,451599.0
1140,4,61,150568.0
2302,3,83,304804.0
3020,1,33,428836.0
2469,5,25,484804.0
2698,5,84,402990.0
1938,4,86,307861.0
3869,4,17,686098.0
2134,1,62,255088.0
762,3,51,107850.0
2287,5,53,362236.0
2691,4,87,342419.0
2893,5,41,555506.0
1123,2,92,80994.0
1516,5,53,236749.0
1380,3,51,173975.0
2549,3,12,409189.0
3444,5,31,570292.0
1827,2,82,252929.0
2801,3,80,438532.0
952,4,65,82357.0
3608,5,81,591629.0
1683,2,57,274379.0
3562,4,38,550102.0
2556,5,26,424871.0
3804,2,77,533857.0
3670,4,53,547756.0
2182,3,78,338638.0
3363,5,71,533976.0
2755,5,72,404219.0
1654,3,84,216070.0
903,1,42,107159.0
2699,4,98,309640.0
2601,3,51,359339.0
3691,5,13,618317.0
2196,4,90,312785.0
1127,4,7,257641.0
1086,1,34,178296.0
2148,5,17,380660.0
1943,2,54,222187.0
1945,1,77,193939.0
603,1,51,50000.0
753,2,71,50000.0
3798,2,48,551452.0
3683,1,7,584997.0
3057,4,36,482994.0
1996,3,65,296433.0
598,3,80,82802.0
2700,1,76,333484.0
2384,4,77,311077.0
3461,2,40,502778.0
2419,1,72,327063.0
1377,5,26,294258.0
837,4,19,150730.0
3369,5,37,596273.0
3734,5,11,636982.0
1456,1,41,157018.0
2204,4,85,307643.0
660,5,100,50000.0
2103,4,49,356157.0
3348,3,30,560539.0
897,5,76,113312.0
1800,5,64,288150.0
1315,4,52,240998.0
2027,3,39,277324.0
2419,5,72,339808.0
1915,1,38,254539.0
1658,4,9,309533.0
1718,4,28,305564.0
900,5,39,185048.0
1139,3,29,156156.0
3604,5,1,590950.0
3235,2,81,388506.0
959,5,27,226537.0
1454,2,46,231432.0
969,1,31,125480.0
3946,4,87,588816.0
1545,4,77,201105.0
3297,3,88,437936.0
2193,5,88,351075.0
2585,1,31,384506.0
2777,2,26,430646.0
3936,3,53,582378.0
1062,1,95,50000.0
2985,1,55,404315.0
2299,2,30,358148.0
3854,2,23,656744.0
2574,4,34,422932.0
725,5,29,162860.0
3848,3,96,530456.0
1297,5,54,273200.0
2831,3,63,419612.0
3426,1,32,490129.0
1459,2,45,181299.0
2004,2,90,207624.0
952,1,96,71034.0
3567,1,32,508016.0
1315,3,67,237059.0
1158,1,63,120620.0
1046,3,29,196742.0
1715,5,78,247025.0
3620,2,28,524728.0
516,2,61,67114.0
3743,2,91,528119.0
1743,5,95,217637.0
2705,5,99,364901.0
3024,4,29,479033.0
1569,3,11,302449.0
3944,3,66,583252.0
3065,4,14,519972.0
2646,2,9,402703.0
2268,3,85,346437.0
1560,3,60,251328.0
2827,2,22,377789.0
3920,1,10,621702.0
3044,1,15,449940.0
801,4,48,124505.0
680,5,79,130187.0
1106,3,13,220830.0
3670,3,5,607170.0
1199,4,41,183670.0
1492,4,16,315041.0
1639,3,94,155958.0
690,2,41,117524.0
2800,2,9,451891.0
1480,5,45,266928.0
3475,3,83,465115.0
2506,3,48,383241.0
1684,3,8,261731.0
3827,3,78,577489.0
3894,4,38,606410.0
627,1,1,92157.0
2565,3,67,358446.0
2316,1,51,294991.0
2258,2,87,311602.0
3113,5,81,417749.0
1069,2,10,186124.0
1846,3,36,341182.0
2395,2,89,294498.0
3233,4,71,485403.0
1125,1,21,162705.0
3859,3,51,558178.0
3401,4,4,601555.0
2186,1,1,340949.0
3509,4,4,605773.0
654,2,98,50000.0
3037,3,31,491609.0
1909,2,18,307656.0
1284,5,3,315957.0
3675,3,86,538400.0
3964,2,45,604142.0
745,3,82,105009.0
3747,1,25,592723.0
3610,3,49,506509.0
2000,3,25,412732.0
2205,1,70,271445.0
3306,2,31,491407.0
1037,3,96,105408.0
2390,4,43,342629.0
2341,3,25,388172.0
1420,2,60,157207.0
2955,1,87,361029.0
1024,2,50,137945.0
3375,5,58,518871.0
2029,3,86,207040.0
3450,3,37,541311.0
535,1,25,70218.0
1184,3,44,190570.0
519,4,30,109205.0
2868,4,69,407692.0
3059,2,44,439597.0
899,1,30,123025.0
3201,5,60,528360.0
1471,2,47,179945.0
2406,1,44,351835.0
3018,1,59,421515.0
1666,2,60,233518.0
1615,2,51,275958.0
3925,3,51,534768.0
1333,5,75,268468.0
2323,4,80,312840.0
3274,3,61,485147.0
2482,1,25,363622.0
1353,5,66,183604.0
550,5,78,104770.0
1074,2,48,169413.0
3761,5,87,572416.0
1648,5,93,191295.0
2697,1,43,335745.0
2861,3,35,426231.0
3117,5,52,543333.0
3913,2,43,578234.0
2852,3,90,319780.0
2215,2,21,408980.0
1181,5,1,320957.0
1337,3,6,220748.0
1577,5,15,306272.0
3550,1,87,439510.0
2991,3,93,412745.0
3160,2,43,468366.0
3540,1,64,453761.0
2811,4,90,432983.0
3624,2,72,549519.0
2095,5,70,328766.0
3551,2,68,473839.0
504,4,60,131454.0
1626,2,29,183266.0
1719,1,41,201819.0
1273,2,90,152331.0
1376,3,73,220546.0
1491,4,24,265264.0
3431,2,81,525859.0
3921,4,70,510813.0
546,1,56,67542.0
3414,3,94,461892.0
3370,5,31,553700.0
3483,2,49,529983.0
3203,1,74,399944.0
768,4,9,151789.0
869,4,21,188613.0
1135,1,94,75824.0
1629,2,40,212933.0
2193,5,46,356555.0
2182,2,13,339309.0
1156,3,2,182213.0
619,2,87,50000.0
1330,3,77,195093.0
2310,4,52,321387.0
1581,3,15,278616.0
2474,5,60,343021.0
1869,1,27,313134.0
1240,3,34,197110.0
616,2,1,164731.0
2353,3,60,404382.0
3338,4,55,476035.0
1650,3,97,170677.0
3964,5,54,655960.0
2431,3,17,385263.0
1512,5,70,251511.0
2164,2,48,310077.0
1581,4,41,197663.0
1133,1,6,211060.0
1012,2,3,184086.0
3349,2,42,456129.0
1619,1,79,214455.0
1641,3,58,215464.0
1059,3,48,138515.0
987,3,59,83225.0
3808,4,5,663051.0
1396,2,19,227875.0
3843,5,30,588304.0
1712,1,82,185769.0
1203,2,21,220076.0
1970,3,84,268564.0
1080,1,81,124541.0
3337,5,31,545220.0
3408,2,46,549032.0
2794,2,33,419609.0
3647,4,26,619865.0
653,2,43,124679.0
2179,2,29,411538.0
1496,5,32,253565.0
3657,5,26,595167.0
3244,1,55,446296.0
3856,3,22,600874.0
1743,5,42,286996.0
1592,1,82,114655.0
3618,2,53,522876.0
1508,1,94,157264.0
2641,1,67,346318.0
2273,1,52,249654.0
1457,1,82,91967.0
3559,5,39,588886.0
952,3,59,124835.0
1727,1,85,167515.0
3459,4,8,580922.0
2765,2,94,327005.0
3021,2,9,486815.0
2979,2,9,509087.0
2888,2,29,410374.0
1050,2,9,200285.0
2135,1,57,274331.0
1812,3,35,236307.0
3825,4,81,536881.0
2257,5,43,387253.0
856,4,56,206132.0
2570,5,42,413345.0
2285,5,82,326042.0
3069,4,22,526345.0
2281,1,3,355152.0
3671,2,11,539599.0
3349,1,48,412700.0
3751,2,23,519209.0
3794,3,12,640201.0
3309,5,67,485036.0
2989,4,90,491447.0
2131,3,71,278606.0
3316,2,89,453744.0
1515,1,33,172798.0
1848,4,8,353297.0
1015,5,9,283855.0
3587,3,64,510755.0
3339,5,71,483082.0
835,2,73,66481.0
2282,5,53,372213.0
2805,1,42,360779.0
996,3,58,189389.0
1395,3,88,164213.0
2707,1,94,351657.0
1351,5,58,265281.0
2187,1,66,319886.0
2431,4,60,334878.0
3237,1,37,480486.0
2927,5,98,406335.0
2068,1,7,317538.0
1456,2,64,149173.0
3238,1,4,570652.0
3998,1,90,489645.0
2136,5,89,333184.0
1791,4,42,259681.0
1940,4,59,292566.0
1691,5,25,355468.0
1566,5,10,333320.0
784,5,33,149750.0
2944,2,1,458947.0
511,3,20,117534.0
2130,1,25,308981.0
3873,5,75,551560.0
3824,5,72,575769.0
3046,5,86,449322.0
1253,4,4,280202.0
2582,5,8,508092.0
3274,1,49,472434.0
3396,5,9,608786.0
589,1,57,50830.0
1275,2,9,234762.0
3152,3,77,469103.0
3517,4,35,616307.0
2125,1,73,221971.0
3569,2,55,495904.0
917,3,61,154666.0
614,3,36,79048.0
1116,3,40,140534.0
3767,1,47,509400.0
1325,2,21,215756.0
2149,5,86,304798.0
2016,2,79,258686.0
3646,2,60,506373.0
912,2,74,77645.0
3947,1,98,444378.0
3991,1,47,580213.0
1228,1,63,146958.0
3848,2,83,511990.0
3568,1,36,516470.0
3308,3,40,512607.0
1175,1,4,222991.0
3965,4,99,562632.0
2392,1,76,247537.0
3004,1,51,466639.0
3467,1,16,559519.0
2739,1,89,325541.0
3286,4,61,504346.0
1622,5,51,290779.0
2071,1,19,284730.0
1477,3,96,199796.0
1508,4,93,224916.0
2643,5,15,475856.0
2187,1,6,361022.0
3210,5,93,501200.0
3761,3,65,552960.0
536,4,11,116275.0
3940,4,42,641174.0
2048,5,39,362091.0
2826,1,0,411058.0
2764,2,57,417246.0
3414,4,2,596810.0
1372,2,7,230515.0
2321,4,89,383512.0
1796,1,74,184246.0
2609,1,60,311064.0
1095,4,84,148144.0
2403,5,4,450997.0
1228,1,25,157440.0
1865,1,84,241213.0
896,3,72,74333.0
1198,1,16,189793.0
3590,3,100,481120.0
2724,1,65,350269.0
2135,1,50,314911.0
895,5,46,240672.0
2992,5,39,502009.0
3804,1,91,508045.0
575,4,26,136273.0
764,4,39,150165.0
3002,1,0,483841.0
2319,4,45,378906.0
1217,1,10,163209.0
3282,5,38,586636.0
3955,2,17,626334.0
1350,3,90,153099.0
1890,4,46,289506.0
643,4,73,97610.0
1384,5,99,181505.0
3640,4,20,607465.0
3670,1,27,532433.0
895,1,0,129318.0
3596,2,13,612112.0
3495,2,19,513136.0
3438,2,72,445877.0
1992,1,44,286345.0
3722,2,60,535593.0
1667,2,26,278672.0
3116,1,55,436494.0
1562,5,51,250509.0
2656,4,67,418099.0
1565,3,36,232260.0
1709,1,81,210763.0
3482,1,30,476359.0
2945,3,48,420360.0
3794,3,52,543755.0
1133,2,38,173657.0
1656,3,9,296039.0
3734,4,8,633942.0
1738,4,91,227962.0
1232,4,91,154005.0
734,4,12,161239.0
3205,4,17,495019.0
1250,2,11,172447.0
3135,1,71,381007.0
3580,3,86,484138.0
3645,1,4,605887.0
1453,3,6,240172.0
3039,2,14,446276.0
3460,2,66,425188.0
3824,5,17,668237.0
3801,5,37,619346.0
2042,2,25,277476.0
1697,2,37,249292.0
2176,3,58,299300.0
1691,2,51,271306.0
2717,1,32,369035.0
1916,3,20,374344.0
3493,2,16,549917.0
3342,3,61,476253.0
3181,3,58,459841.0
1717,4,1,345147.0
2040,5,63,322355.0
2576,3,24,389831.0
3736,3,40,591328.0
1945,4,18,379896.0
2886,2,37,459315.0
2019,3,24,329242.0
1888,4,38,350355.0
2356,1,3,379264.0
1865,4,2,348569.0
999,5,33,193420.0
2180,5,9,443820.0
1010,2,26,109813.0
3898,2,89,559562.0
716,5,90,103180.0
1824,5,0,355690.0
1655,3,43,235204.0
2327,5,83,336152.0
3641,2,51,546127.0
3823,5,24,653998.0
3986,2,73,536531.0
2310,1,64,273474.0
2992,5,79,463421.0
3423,2,10,623759.0
1705,4,67,337353.0
2714,3,98,381036.0
590,2,76,50000.0
1213,5,84,203772.0
2381,5,14,418026.0
538,1,56,50000.0
3697,4,73,587919.0
672,2,63,57878.0
1152,4,10,232315.0
1253,1,95,78778.0
1743,3,96,181737.0
1581,4,19,286494.0
2183,1,99,250863.0
3023,2,29,478956.0
955,3,9,201265.0
1328,5,53,270891.0
1394,1,57,108964.0
1884,5,78,290577.0
2458,3,28,373830.0
3572,1,0,615331.0
2934,1,57,384018.0
2496,3,20,432649.0
2895,2,14,487368.0
689,1,66,50000.0
1004,3,32,200089.0
1714,4,37,323970.0
2031,5,18,406744.0
3940,1,3,591735.0
3980,4,75,544080.0
1323,1,88,177002.0
1428,2,97,129077.0
1433,3,80,209080.0
1640,1,57,183660.0
633,3,69,135085.0
2605,1,11,382601.0
1184,2,78,127017.0
3219,2,16,573311.0
2720,4,0,440050.0
2352,2,13,413386.0
1314,3,1,255142.0
1672,2,3,308430.0
579,1,65,50000.0
3433,2,89,497231.0
3784,3,45,549242.0
702,1,49,67615.0
3311,4,59,533913.0
1752,4,51,256988.0
2199,4,96,298472.0
1750,1,47,195346.0
2182,4,38,349643.0
2055,2,69,344187.0
3973,1,59,585396.0
2594,1,29,394285.0
1756,1,85,192477.0
3876,5,26,603227.0
2049,3,82,263344.0
1666,5,73,289969.0
3986,5,54,619833.0
1896,5,69,312417.0
3830,3,25,574398.0
3203,5,41,498616.0
970,4,66,214737.0
3518,1,66,532374.0
1535,1,51,186484.0
1853,2,5,288606.0
3283,4,9,533384.0
3331,3,37,527299.0
1467,1,76,206891.0
857,5,11,194386.0
3519,2,45,519825.0
3979,2,48,583712.0
1167,1,90,137020.0
872,4,71,134020.0
1531,2,62,153367.0
1645,1,68,207727.0
1871,4,99,246980.0
3223,1,42,427036.0
589,1,93,50000.0
3245,4,59,486564.0
3887,4,100,553053.0
3749,4,28,613085.0
1039,1,85,64892.0
3279,2,77,415100.0
1368,3,73,194387.0
540,3,10,92394.0
1239,1,34,192903.0
2446,1,22,334883.0
3049,2,71,377205.0
3506,4,20,623970.0
3716,1,36,537018.0
1724,5,27,269074.0
1428,4,94,181016.0
2536,1,57,350339.0
3008,5,52,507958.0
3279,2,27,476237.0
3299,5,41,526688.0
1424,1,90,130495.0
3456,3,84,508756.0
2081,1,72,206295.0
3824,3,92,485457.0
889,2,60,142474.0
2117,2,78,300479.0
3430,4,32,527830.0
755,4,54,116825.0
1208,3,36,261237.0
2338,3,46,381905.0
2444,2,35,363119.0
2997,5,27,551426.0
509,3,9,111075.0
3371,3,22,543983.0
1297,5,91,176053.0
3813,4,97,556779.0
3822,4,4,669564.0
1376,3,81,175894.0
1528,4,5,318323.0
3690,4,41,618402.0
1515,4,46,266038.0
2324,2,86,292167.0
873,1,27,131351.0
3636,3,12,627367.0
2693,3,24,407426.0
723,2,6,153724.0
1762,1,65,149691.0
2724,1,79,325314.0
2302,2,57,373451.0
1352,5,65,201088.0
3853,5,35,587006.0
562,1,1,74728.0
1740,5,37,337976.0
3374,5,73,514556.0
3342,5,13,555510.0
1188,1,26,203234.0
1984,5,14,393618.0
2133,3,84,244452.0
2652,1,11,397950.0
3670,2,42,604079.0
1010,5,96,127012.0
884,4,56,94579.0
904,1,85,67703.0
3370,2,47,500579.0
1017,3,60,180530.0
975,2,81,77295.0
2500,5,43,436651.0
3256,4,51,514596.0
2168,5,61,351810.0
2393,2,1,407460.0
3318,1,92,425359.0
1960,4,70,306510.0
3594,4,30,610641.0
3544,2,81,406014.0
3224,5,72,452335.0
1213,2,71,143151.0
582,4,32,132376.0
1668,2,4,254898.0
3656,4,77,525954.0
3649,5,57,554155.0
3004,1,76,397031.0
2401,1,10,341402.0
2548,2,83,329041.0
550,4,22,166853.0
1184,1,44,118672.0
1216,4,26,190984.0
1969,5,78,278911.0
948,2,93,50000.0
1380,4,55,222210.0
987,2,58,67409.0
2323,4,79,381833.0
2581,4,39,382662.0
3919,5,17,626975.0
2642,2,50,378141.0
3643,3,60,530761.0
2074,4,22,405839.0
2701,4,35,434936.0
749,1,37,79399.0
1173,2,71,150179.0
937,3,55,162974.0
2665,5,38,395807.0
1270,3,92,142064.0
3877,5,75,656202.0
767,3,81,59149.0
2484,3,82,338706.0
1577,2,99,188341.0
735,1,96,50000.0
888,3,68,80075.0
3537,4,27,576128.0
1262,4,89,125303.0
2348,4,20,376135.0
2948,1,61,422266.0
1123,3,22,227736.0
3314,5,20,626677.0
3874,5,74,620013.0
3466,2,15,537640.0
3778,1,61,483075.0
1752,3,96,249517.0
3400,4,90,500777.0
1077,1,64,128744.0
2622,1,79,335699.0
934,3,4,230889.0
2650,2,45,337788.0
3993,2,63,526933.0
1263,2,81,106096.0
3285,4,40,535673.0
3353,4,97,452831.0
1829,3,43,316597.0
2645,2,88,330651.0
3345,3,97,514912.0
1858,2,14,353311.0
3406,1,67,454675.0
2982,5,50,446554.0
946,5,53,198971.0
2517,2,67,303751.0
1831,3,88,199815.0
748,4,76,89180.0
665,2,41,78162.0
3531,2,45,532229.0
1858,4,24,339722.0
1519,2,66,158374.0
1041,1,34,126479.0
1258,4,72,141506.0
3677,1,77,491206.0
2628,5,21,413195.0
2680,4,8,465358.0
1296,4,23,227420.0
3447,3,22,567014.0
637,3,60,59281.0
2731,4,36,420951.0
3972,5,44,654893.0
1853,2,14,314638.0
3332,3,56,461209.0
2375,5,99,355113.0
3531,5,13,687752.0
568,3,51,69854.0
3093,2,83,367496.0
2600,3,35,409663.0
1973,5,26,323298.0
704,1,16,98638.0
2673,3,89,338999.0
542,5,40,154068.0
2406,3,3,364610.0
2658,5,2,448934.0
1260,2,18,218853.0
3754,5,40,631373.0
3395,4,39,478037.0
2642,1,57,393525.0
2494,5,38,454770.0
3945,3,6,624403.0
2435,3,35,386117.0
1399,5,82,152324.0
859,4,75,139976.0
3447,5,19,568862.0
2219,2,75,272171.0
780,4,28,160103.0
3766,5,93,589547.0
2387,1,83,292470.0
3766,4,67,553714.0
1166,5,65,179222.0
592,1,46,60363.0
1171,5,93,161485.0
2469,2,22,376695.0
560,3,5,138180.0
3181,5,17,548637.0
3622,4,52,513941.0
3974,5,21,669174.0
1528,5,100,208547.0
1989,5,67,321942.0
1103,5,74,146549.0
1181,4,34,192353.0
3081,4,74,502526.0
1928,5,97,250582.0
3385,3,8,573426.0
3192,5,30,518894.0
2780,4,95,326267.0
1023,2,42,139933.0
2893,5,98,434734.0
3617,5,74,543738.0
3093,5,16,484864.0
2468,5,50,343202.0
1601,1,99,175958.0
2253,5,65,359522.0
2336,4,23,421015.0
3644,4,14,616750.0
3341,1,27,454238.0
2796,5,2,509326.0
2594,3,28,364590.0
1644,5,51,313774.0
2761,4,53,440129.0
2786,2,57,411719.0
1579,2,44,262770.0
2897,3,76,392660.0
606,5,49,109858.0
3378,1,21,498324.0
547,5,51,158879.0
836,3,52,76013.0
1549,3,30,256970.0
3351,3,70,502799.0
1780,2,47,259839.0
2555,5,89,408644.0
1124,5,30,186549.0
2390,1,3,407519.0
1776,3,34,266874.0
2215,3,96,214196.0
3266,4,66,480896.0
802,4,63,99532.0
1138,2,82,107377.0
555,5,8,128052.0
1225,1,45,146054.0
1025,1,82,58103.0
973,3,55,199588.0
527,1,55,50000.0
2625,3,82,362198.0
3787,5,25,631207.0
3957,1,59,580176.0
864,3,76,112959.0
3213,5,85,525343.0
1025,5,71,200179.0
3246,3,87,430944.0
1835,3,89,250337.0
1382,2,47,215324.0
1530,5,57,289442.0
1526,3,62,226542.0
2146,5,57,313195.0
1418,1,2,229424.0
3297,4,6,570683.0
2910,4,51,457430.0
2274,3,61,362322.0
2031,3,1,344152.0
3845,5,32,642433.0
3353,3,11,547663.0
3286,5,47,557006.0
2406,3,75,385204.0
3586,5,52,594176.0
1715,3,73,246337.0
2154,2,40,284505.0
984,5,90,93292.0
2575,2,81,336721.0
1213,2,57,147955.0
1562,2,67,207710.0
2476,2,22,366612.0
1796,1,84,230688.0
1754,4,35,265215.0
2633,1,93,297470.0
625,3,84,50000.0
3359,3,86,493581.0
1036,4,20,204466.0
2692,4,71,381260.0
3783,4,54,585071.0
2572,2,55,336131.0
2103,1,12,320382.0
3965,3,21,625658.0
566,1,6,184377.0
732,1,23,88325.0
2656,1,60,343719.0
1669,4,4,332095.0
2658,4,49,428095.0
2775,3,61,434345.0
610,3,54,144338.0
1993,3,25,304918.0
2581,1,9,409509.0
1122,4,10,231368.0
3940,2,39,594110.0
3295,1,10,535561.0
3142,5,93,508530.0
2972,1,3,488439.0
3160,4,1,562259.0
2041,5,76,345740.0
3239,1,38,435008.0
1805,4,80,232976.0
3891,4,22,642303.0
2261,2,44,361263.0
2475,1,73,294781.0
2862,4,76,412388.0
1376,3,41,157728.0
2489,4,41,475799.0
3948,2,28,591702.0
1812,4,15,251564.0
1960,1,66,239813.0
3209,1,99,396736.0
2824,5,59,445900.0
2233,1,3,324044.0
2105,5,99,323885.0
2026,3,15,369395.0
3171,2,40,483432.0
3063,3,5,490523.0
3921,5,41,620687.0
3390,4,56,510786.0
2897,4,27,469716.0
2130,3,99,279461.0
3370,4,22,547255.0
1660,5,75,230501.0
1258,2,41,192196.0
3446,1,94,495398.0
742,5,11,174495.0
3090,5,95,428213.0
1563,1,88,145179.0
728,1,63,76290.0
3095,2,57,452821.0
1419,2,50,189304.0
1746,2,28,255217.0
